level5_full_text_screening_decision;level5_final_classification;level5_action;title;first_author;year;level4_full_text_decision;previous_object_classification;zotero_item_key;pdf_attachment_key;level5_note
KEEP_OTHER_GENERAL;other or general;keep in other/general set;A State-Synchronized Digital Twin-Driven Framework for Adaptive Optimization of Fourth-Party Logistics Networks in Off-Site Construction;Karimi B.;2026;INCLUDE_FULL_TEXT;other or general;NBQPFIKC;MICB3NWZ;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Experiment-based calibration of a digital twin for composite panel testing using standard signals;Bogenfeld R.;2026;INCLUDE_FULL_TEXT;other or general;U6EKVFH5;VNXJUH7T;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Experimental validation of the Ensemble Kalman Filter as a Laser Powder Bed Fusion digital twin;Wood N.;2026;INCLUDE_FULL_TEXT;other or general;9YKYESAG;4YC7PG9Q;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;keep in production-system set;Specifying Digital Twin Synchronization in Manufacturing Systems Using Stochastic and Timed Automata;Derigent W.;2026;INCLUDE_FULL_TEXT;production system object;8P7C7Q4V;HKDHS6X6;Kept after Level 5 full-text screening.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;YZ1.0-MOM: An Integrated Intelligent Management System for Smart Textile Factories Based on Digital Twin and Deep Learning;Su Z.;2026;INCLUDE_FULL_TEXT;production system object;9N7R3C34;GLG8X3ZC;User full-text screening decision: remove from considered set.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Behavioral trust management in Digital Twin systems using safe state analysis and virtual validation;Azzedin F.;2026;INCLUDE_FULL_TEXT;other or general;92SEPHYX;D3649K3D;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;move from other/general set to production-system set;Smart Manufacturing Innovation Through the Integration of Digital Twin and IoT Energy Management;Kwon Y.;2025;INCLUDE_FULL_TEXT;other or general;MQYLB3MF;GZSVN3GF;User full-text screening decision: move from other/general set to production-system set.
KEEP_OTHER_GENERAL;other or general;move from production-system object to other/general;Automatic Calibration and Update of a Digital Twin for Plug & Produce;Bennulf M.;2025;INCLUDE_FULL_TEXT;production system object;KSAEGSFX;I7SEJXVY;User full-text screening decision: move from production-system set to other/general set.
EXCLUDE_AFTER_FULL_TEXT_SCREENING;excluded;exclude from considered set;Towards accurate digital twins: A review of calibration methods using event-based and neuromorphic vision;Kombaya Touckia J.V.;2026;INCLUDE_FULL_TEXT;other or general;VERZLBGP;BAJ5T5KV;User full-text screening decision: remove from considered set after Others-set full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;A multi-level multi-domain digital twin modeling method for industrial robots;Yang K.;2025;INCLUDE_FULL_TEXT;other or general;4H25KX2Q;IYFNUJPN;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;A Credibility-Based Self-Evolution Algorithm for Equipment Digital Twins Based on Multi-Layer Deep Koopman Operator;Cheng H.;2025;INCLUDE_FULL_TEXT;other or general;2QI22GQW;RBRZDHEV;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Digital twin technique for automatic damage detection of historical buildings with an adaptive model updating approach;Zhang C.;2025;INCLUDE_FULL_TEXT;other or general;9C7WH5PJ;B2XAZCQ6;Kept after Level 5 full-text screening.
KEEP_PRODUCTION_SYSTEM;production system object;move from other/general set to production-system set;Preserving Dependencies in Partitioned Digital Twin Models for Enabling Modular Validation;Zare A.;2025;INCLUDE_FULL_TEXT;other or general;YRV28NI5;P9X8V4PU;User full-text screening decision: move from other/general set to production-system set.
KEEP_OTHER_GENERAL;other or general;move from production-system object to other/general;Development and Validation of Digital Twin Behavioural Model for Virtual Commissioning of Cyber-Physical System;Ruzarovsky R.;2025;INCLUDE_FULL_TEXT;production system object;J8YFZMWX;MDYBJCAF;User full-text screening decision: move from production-system set to other/general set.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Accurate EDM Calibration of a Digital Twin for a Seven-Axis Robotic EDM System and 3D Offline Cutting Path †;de Almeida S.T.;2025;INCLUDE_FULL_TEXT;other or general;72ZNHKL3;ZKTELL9F;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Prediction of bearing remaining useful life based on a two-stage updated digital twin;He D.;2025;INCLUDE_FULL_TEXT;other or general;C2NBWE34;E38Y425C;Kept after Level 5 full-text screening.
KEEP_OTHER_GENERAL;other or general;keep in other/general set;Multi-stage calibration framework for a digital twin model in building operations: Cold chain logistics centers case study;Lin R.;2025;INCLUDE_FULL_TEXT;other or general;BR5TFYG4;L4TISIC6;Kept after Level 5 full-text screening.
